"","0.15","0.2","0.25","0.3","0.35","0.4"
"0.5",0.385911179173047,0.354978354978355,0.173076923076923,0.0416666666666667,NA,NA
"0.6",0.384615384615385,0.34841628959276,0.240343347639485,0.027027027027027,NA,NA
"0.7",0.377551020408163,0.317972350230415,0.272373540856031,0.110429447852761,0.0147058823529412,0.0151515151515152
"0.8",0.384313725490196,0.380710659898477,0.285714285714286,0.269058295964126,0.162790697674419,0.0933333333333333
"0.9",0.323232323232323,0.314606741573034,0.291021671826625,0.270833333333333,0.2734375,0.256410256410256
"0.95",0.314868804664723,0.324159021406728,0.304761904761905,0.27906976744186,0.268041237113402,0.267605633802817
